image_name,image_url,label,_split
n03168217_0.jpg,http://www.mcarthur-group.com/images/products/hardwood/Hardwoord%20Furniture%20Tivoli%20Folding%20Chair%20IMC%20013.jpg,1,train
n03168217_1.jpg,http://farm4.static.flickr.com/3121/2729881513_5b26f105f9.jpg,1,train
n03168217_2.jpg,http://farm1.static.flickr.com/40/344324202_4c13d650fb.jpg,1,train
n03168217_3.jpg,http://farm1.static.flickr.com/40/87343208_453617b35b.jpg,1,train
n03168217_4.jpg,http://farm1.static.flickr.com/176/486726298_9a5fff1863.jpg,1,train
n03168217_5.jpg,http://farm1.static.flickr.com/80/244991602_f9ca240ba6.jpg,1,train
n03168217_6.jpg,http://www.worldofstock.com/slides/PRE6086.jpg,1,train
n03168217_7.jpg,http://www.charlestonbeachchair.com/new_bc.jpg,1,train
n03168217_8.jpg,http://www.nowirehangers.net/USERIMAGES/C4.jpg,1,train
n03168217_9.jpg,http://farm1.static.flickr.com/8/7295377_b2c543b10a.jpg,1,train
n03168217_10.jpg,http://farm4.static.flickr.com/3100/2737486397_692e8ee9f7.jpg,1,train
n03168217_11.jpg,http://farm4.static.flickr.com/3267/2666680950_eff1a8060f.jpg,1,train
n03168217_12.jpg,http://www.teakmoebel-lagerverkauf.de/deckchair_rollen.jpg,1,train
n03168217_13.jpg,http://www.almacenesarenal.com/imagenes_catalogo/58.709.jpg,1,train
n03168217_14.jpg,http://www.teck.com.hk/TF-115.jpg,1,train
n03168217_15.jpg,http://beachdazerentals.com/images/rentals/beach1_lg.jpg,1,train
n03168217_16.jpg,http://farm2.static.flickr.com/1053/1351859213_e90b216ce1.jpg,1,train
n03168217_17.jpg,http://titanic.125west.com/assets/images/Titanic_Chair.jpg,1,train
n03168217_18.jpg,http://www.beachstore.com/images/Stackable%20Arm%20Chair.jpg,1,train
n03168217_19.jpg,http://farm4.static.flickr.com/3246/2676304431_c0eb7a3c07.jpg,1,train
n03168217_20.jpg,http://farm4.static.flickr.com/3117/2438990684_e610905878.jpg,1,train
n03168217_21.jpg,http://images.asia.ru/img/alibaba/photo/51157030/Deck_Chair.jpg,1,train
n03168217_22.jpg,http://modculture.typepad.com/photos/uncategorized/2008/04/20/morris_deckchair.jpg,1,train
n03168217_23.jpg,http://farm4.static.flickr.com/3028/2733116794_498663ccba.jpg,1,train
n03168217_24.jpg,http://www.gowfb.com/images/imagecache/b2521_relaxchair.1177562238.jpg,1,train
n03168217_25.jpg,http://farm1.static.flickr.com/13/14113325_70f8fabfe1.jpg,1,train
n03168217_26.jpg,http://farm4.static.flickr.com/3039/2750541464_0516193ece.jpg,1,train
n03168217_27.jpg,http://www.crocus.co.uk/images/products2/PR/20/00/00/90/PR2000009066_card2.jpg,1,train
n03168217_28.jpg,http://images.netshops.com/mgen/digimarc.ms?img=master:BRC008.jpg&h=368&w=368,1,train
n03168217_29.jpg,http://farm1.static.flickr.com/48/117750626_fa3a7015e7.jpg,1,train
n03168217_30.jpg,http://www.lumoss.com/Products/Valentines/V302.jpg,1,train
n03168217_31.jpg,http://farm2.static.flickr.com/1171/931170520_2f3876ab7f.jpg,1,train
n03168217_32.jpg,http://farm4.static.flickr.com/3163/2674778539_266d75d164.jpg,1,train
n03168217_33.jpg,http://farm2.static.flickr.com/1021/1161875977_d0d4c8cbf2.jpg,1,train
n03168217_34.jpg,http://www.housetohome.co.uk/imageBank/cache/h/HG06.06.inoutdoors_e_c9099e0cbb61e36149c9b301b1b3281b.jpg,1,train
n03168217_35.jpg,http://farm4.static.flickr.com/3019/2586161287_4a820b43fc.jpg,1,train
n03168217_36.jpg,http://farm1.static.flickr.com/149/433289838_bc4c30dfaa.jpg,1,train
n03168217_37.jpg,http://farm1.static.flickr.com/35/71067788_885862f6b8.jpg,1,train
n03168217_38.jpg,http://www.margaretheath.co.uk/Images/DeckchairD35.gif,1,train
n03168217_39.jpg,http://farm4.static.flickr.com/3049/2759589265_e26926b9cb.jpg,1,train
n03168217_40.jpg,http://www.thinksgiveaways.com/images/mobile_phone_deckchair_crop.jpg,1,train
n03168217_41.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Deckchair_600.jpg/450px-Deckchair_600.jpg,1,train
n03168217_42.jpg,http://farm1.static.flickr.com/56/179801297_0376f49f4f.jpg,1,train
n03168217_43.jpg,http://farm1.static.flickr.com/21/25127924_49ec3e078e.jpg,1,train
n03168217_44.jpg,http://farm1.static.flickr.com/50/145698925_e7203a4c3f.jpg,1,train
n03168217_45.jpg,http://farm2.static.flickr.com/1392/1343525214_b95f568953.jpg,1,train
n03168217_46.jpg,http://www.bellaregalo.com/shop/graphics/00000001/beachchairplacecardholders.jpg,1,train
n03168217_47.jpg,http://www.amtmarketing.com/itemthumb/double-wide-boy-beach-deck-chair-2574.jpg,1,train
n03168217_48.jpg,http://farm2.static.flickr.com/1056/621479613_435efa6b56.jpg?v=0,1,train
n03168217_49.jpg,http://farm2.static.flickr.com/1424/1151033376_96b6e4f251.jpg,1,train
n03168217_50.jpg,http://farm3.static.flickr.com/2233/2383536790_3d2a444436.jpg,1,train
n03168217_51.jpg,http://www.adssa.co.za/Zam_Deck.jpg,1,train
n03168217_52.jpg,http://farm1.static.flickr.com/170/450095155_87bd310846.jpg,1,train
n03168217_53.jpg,http://www.gazela.co.za/images/INSTYLE1A.jpg,1,train
n03168217_54.jpg,http://farm4.static.flickr.com/3231/2678549549_a20594f83f.jpg,1,train
n03168217_55.jpg,http://farm2.static.flickr.com/1133/1350994385_b239b34ab3.jpg,1,train
n03168217_56.jpg,http://farm2.static.flickr.com/1277/1074808861_d5604ed807.jpg,1,train
n03168217_57.jpg,http://farm3.static.flickr.com/2046/2294673900_33a2775fbb.jpg,1,train
n03168217_58.jpg,http://farm1.static.flickr.com/84/236215288_059f88223e.jpg,1,train
n03168217_59.jpg,http://www.patiozone.com/imagesg/products/tt/tt-RefSteamer-130.jpg,1,train
n03168217_60.jpg,http://farm3.static.flickr.com/2130/2520471706_571748e951.jpg,1,train
